392;HISTORIA DE LA EDUCACION Y LA PEDAGOGIA;LUZURIAGA, LORENZO;;1.81;370 L;34;10/16/1985;A;
393;HISTORIA DE LA EDUCACION Y LA PEDAGOGIA;LUZURIAGA, LORENZO;;0.56;370 L;32;10/16/1985;E;
394;EVALUACION DE LOS APRENDIZAJE;LAFOURCADE,. PEDRO;;20.00;370L;0;10/16/1985;E;PAGO POR PERDIDA
395;HISTORIA DE LA EDUCACION Y LA PEDAGOGIA;LUZURIAGA, LORENZO;;0.01;370L;17;10/16/1985;A;
396;HISTORIA DE LA ECONOMIA DEL MUNDO OCCIDENTAL;BARNES, HARRY E.;;0.15;330B;5;10/16/1985;E;
397;HISTORIA DE LA ECONOMIA DEL MUNDO OCCIDENTAL;BARNES, HARRY E.;;0.15;330B;7;10/16/1985;E;
398;DIALECTICA DE LO CONCRETO;KOSIK, KAREL;;0.08;100K;2;10/16/1985;E;
399;DIALECTICA DE LO CONCRETO;KOSIK, KAREL;;0.08;100K;1;10/16/1985;E;
400;DIALECTICA DE LO CONCRETO;KOSIK, KAREL;;0.08;100K;1;10/16/1985;E;
401;DIALECTICA DE LO CONCRETO;KOSIK, KAREL;;0.08;100K;3;10/16/1985;E;
